법정동코드,center_point,경도,위도,법정동명,level,sd_cd,sd_nm,sgg_cd,sgg_nm,emd_cd,sgg_cnt,sgg_list
4100000000,POINT (127.18056758531141 37.53320286205484),127.18056758531141,37.53320286205484,경기도,0,41,경기도,41000,,41000000,51,"['경기도 수원시' '경기도 수원시 장안구' '경기도 수원시 권선구' '경기도 수원시 팔달구' '경기도 수원시 영통구'
 '경기도 성남시' '경기도 성남시 수정구' '경기도 성남시 중원구' '경기도 성남시 분당구' '경기도 의정부시' '경기도 안양시'
 '경기도 안양시 만안구' '경기도 안양시 동안구' '경기도 부천시' '경기도 부천시 원미구' '경기도 부천시 소사구'
 '경기도 부천시 오정구' '경기도 광명시' '경기도 평택시' '경기도 동두천시' '경기도 안산시' '경기도 안산시 상록구'
 '경기도 안산시 단원구' '경기도 고양시' '경기도 고양시 덕양구' '경기도 고양시 일산동구' '경기도 고양시 일산서구'
 '경기도 과천시' '경기도 구리시' '경기도 남양주시' '경기도 오산시' '경기도 시흥시' '경기도 군포시' '경기도 의왕시'
 '경기도 하남시' '경기도 용인시' '경기도 용인시 처인구' '경기도 용인시 기흥구' '경기도 용인시 수지구' '경기도 파주시'
 '경기도 이천시' '경기도 안성시' '경기도 김포시' '경기도 화성시' '경기도 광주시' '경기도 양주시' '경기도 여주시'
 '경기도 포천시' '경기도 연천군' '경기도 가평군' '경기도 양평군']"
4111100000,POINT (127.0034517059281 37.313965694937224),127.0034517059281,37.313965694937224,경기도 수원시 장안구,1,41,경기도,41111,수원시 장안구,41111000,0,
4111300000,POINT (126.97975833095626 37.2605247600008),126.97975833095626,37.2605247600008,경기도 수원시 권선구,1,41,경기도,41113,수원시 권선구,41113000,0,
4111500000,POINT (127.01623866815792 37.27746362637728),127.01623866815792,37.27746362637728,경기도 수원시 팔달구,1,41,경기도,41115,수원시 팔달구,41115000,0,
4111700000,POINT (127.05672837215691 37.27501901178796),127.05672837215691,37.27501901178796,경기도 수원시 영통구,1,41,경기도,41117,수원시 영통구,41117000,0,
4113100000,POINT (127.10414520762345 37.43516624341919),127.10414520762345,37.43516624341919,경기도 성남시 수정구,1,41,경기도,41131,성남시 수정구,41131000,0,
4113300000,POINT (127.16390991313907 37.433433232303905),127.16390991313907,37.433433232303905,경기도 성남시 중원구,1,41,경기도,41133,성남시 중원구,41133000,0,
4113500000,POINT (127.10606401207816 37.379301565200336),127.10606401207816,37.379301565200336,경기도 성남시 분당구,1,41,경기도,41135,성남시 분당구,41135000,0,
4115000000,POINT (127.06842308117096 37.73619210869814),127.06842308117096,37.73619210869814,경기도 의정부시,1,41,경기도,41150,의정부시,41150000,0,
4119200000,POINT (126.77895041262455 37.49979869686777),126.77895041262455,37.49979869686777,경기도 부천시 원미구 ,1,41,경기도,41192,부천시 원미구,41192000,0,
